horodataire,style_vestimentaire,sexe,age,domaine,statut,fruits et legumes,feculents,laitage,viande,poisson
27/11/2019 21:02:44,Naturel/sportive,Femme,26-35 ans,Informatique & Télécommunication,Etudiant(e),Une fois par mois,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par mois
27/11/2019 22:35:48,Tendance/fashionista,Femme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine
27/11/2019 22:37:54,Classique,Femme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine
27/11/2019 22:40:18,Minimaliste,Femme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Une fois par mois
28/11/2019 08:21:27,Classique,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Une fois par semaine,Une fois par mois,Tous les jours,Tous les jours
28/11/2019 14:03:34,Classique,Femme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Tous les jours,Une fois par semaine,Tous les jours,Une fois par semaine
28/11/2019 16:11:01,Tendance/fashionista,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Tous les jours
28/11/2019 23:58:49,Naturel/sportive,Femme,26-35 ans,Medical,ouvrier(ère),Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine
29/11/2019 20:03:30,Classique,Femme,18-25 ans,Medical,Etudiant(e),Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine,Tous les jours
29/11/2019 20:28:39,Naturel/sportive,Femme,18-25 ans,Bâtiment,Etudiant(e),Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine,Tous les jours
29/11/2019 20:28:47,Naturel/sportive,Femme,18-25 ans,Bâtiment,Etudiant(e),Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine,Tous les jours
29/11/2019 20:33:07,Classique,Homme,18-25 ans,Bâtiment,Etudiant(e),Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
29/11/2019 20:37:00,Classique,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Une fois par semaine,Une fois par mois,Une fois par semaine,Une fois par semaine,Une fois par semaine
29/11/2019 20:37:06,Naturel/sportive,Homme,18-25 ans,Banque & Assurance,Cadre,Tous les jours,Une fois par semaine,Tous les jours,Une fois par semaine,Tous les jours
29/11/2019 20:37:07,Classique,Homme,18-25 ans,Medical,Etudiant(e),Tous les jours,Jamais,Une fois par semaine,Une fois par mois,Une fois par semaine
29/11/2019 20:37:30,Naturel/sportive,Homme,18-25 ans,Banque & Assurance,Cadre,Tous les jours,Une fois par semaine,Tous les jours,Une fois par semaine,Tous les jours
29/11/2019 20:46:13,Classique,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Une fois par semaine,Une fois par mois,Une fois par semaine,Une fois par semaine,Une fois par semaine
29/11/2019 20:49:11,Naturel/sportive,Homme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine
29/11/2019 20:56:54,Classique,Femme,18-25 ans,Medical,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
29/11/2019 21:03:11,Naturel/sportive,Femme,18-25 ans,Medical,Etudiant(e),Une fois par semaine,Jamais,Jamais,Une fois par mois,Tous les jours
29/11/2019 21:06:04,Romantique,Homme,18-25 ans,Medical,Etudiant(e),Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
29/11/2019 21:09:21,Minimaliste,Homme,18-25 ans,Medical,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
29/11/2019 21:17:45,Tendance/fashionista,Homme,18-25 ans,Bâtiment,ouvrier(ère),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
29/11/2019 21:27:23,Tendance/fashionista,Homme,18-25 ans,Comptabilité & Marketing,ouvrier(ère),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
29/11/2019 23:52:21,Romantique,Homme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par mois,Une fois par mois
30/11/2019 00:08:51,Naturel/sportive,Homme,18-25 ans,Audio Visuel,Etudiant(e),Une fois par mois,Une fois par mois,Une fois par semaine,Une fois par semaine,Une fois par semaine
30/11/2019 17:02:46,Classique,Homme,18-25 ans,Bâtiment,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
30/11/2019 17:02:59,Classique,Homme,18-25 ans,Bâtiment,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
30/11/2019 19:02:12,Classique,Homme,18-25 ans,Bâtiment,Etudiant(e),Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par mois,Une fois par semaine
30/11/2019 19:35:47,Minimaliste,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Tous les jours,Tous les jours,Tous les jours
01/12/2019 18:49:58,Classique,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Tous les jours,Tous les jours,Tous les jours,Une fois par semaine
02/12/2019 08:16:51,Classique,Homme,18-25 ans,Industrie,Etudiant(e),Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine,Tous les jours
02/12/2019 09:09:35,Classique,Femme,18-25 ans,Medical,Etudiant(e),Tous les jours,Tous les jours,Une fois par semaine,Une fois par mois,Tous les jours
02/12/2019 09:23:33,Classique,Homme,18-25 ans,Industrie,Etudiant(e),Une fois par mois,Jamais,Jamais,Une fois par mois,Tous les jours
